idx,type,type_name,name,formula,pa,ra,pb,rb,coefs,srcs,saved,editable
4366,15,ключ,выключ инвестиций в оплату долгов поставщикам сырья,(-1·[4363] + 1·[4364]) > 0 ? [4065] : 0,,,0,4065,-1;1,4363;4364,0,0
4367,1,Σ,поток денег из депозита и инвестиций для погашения долга поставщикам сырья,1·[4366] + 1·[4086],,,,,1;1,4366;4086,0,0
4401,11,Π/Π,возврат долга за поставку сырья из прибыли,[4215]·[4117] / [4410],0;0,4215;4117,0,4410,,,0,0
4402,11,Π/Π,возврат долга за поставку сырья из прибыли,[4225]·[4117] / [4410],0;0,4225;4117,0,4410,,,0,0
4403,11,Π/Π,возврат долга за поставку сырья из прибыли,[4235]·[4117] / [4410],0;0,4235;4117,0,4410,,,0,0
4404,11,Π/Π,возврат долга за поставку сырья из прибыли,[4245]·[4117] / [4410],0;0,4245;4117,0,4410,,,0,0
4405,11,Π/Π,возврат долга за поставку сырья из прибыли,[4255]·[4117] / [4410],0;0,4255;4117,0,4410,,,0,0
4406,11,Π/Π,возврат долга за поставку сырья из прибыли,[4265]·[4117] / [4410],0;0,4265;4117,0,4410,,,0,0
4407,11,Π/Π,возврат долга за поставку сырья из прибыли,[4275]·[4117] / [4410],0;0,4275;4117,0,4410,,,0,0
4408,11,Π/Π,возврат долга за поставку сырья из прибыли,[4117]·[4285] / [4410],0;0,4117;4285,0,4410,,,0,0
4410,14,clip Σ,сумма всех долгов за поставку сырья,"clip(1·[4215] + 1·[4225] + 1·[4235] + 1·[4245] + 1·[4255] + 1·[4265] + 1·[4275] + 1·[4285], 0.001, 1e+08)",0.001,0,1e+08,0,1;1;1;1;1;1;1;1,4215;4225;4235;4245;4255;4265;4275;4285,0,0
4411,11,Π/Π,возврат долга за поставку сырья из прибыли,[4421]·[4441] / [4420],0;0,4421;4441,0,4420,,,0,0
4412,11,Π/Π,возврат долга за поставку сырья из прибыли,[4422]·[4441] / [4420],0;0,4422;4441,0,4420,,,0,0
4413,11,Π/Π,возврат долга за поставку сырья из прибыли,[4423]·[4441] / [4420],0;0,4423;4441,0,4420,,,0,0
4414,11,Π/Π,возврат долга за поставку сырья из прибыли,[4424]·[4441] / [4420],0;0,4424;4441,0,4420,,,0,0
4415,11,Π/Π,возврат долга за поставку сырья из прибыли,[4425]·[4441] / [4420],0;0,4425;4441,0,4420,,,0,0
4416,11,Π/Π,возврат долга за поставку сырья из прибыли,[4426]·[4441] / [4420],0;0,4426;4441,0,4420,,,0,0
4417,11,Π/Π,возврат долга за поставку сырья из прибыли,[4427]·[4441] / [4420],0;0,4427;4441,0,4420,,,0,0
4418,11,Π/Π,возврат долга за поставку сырья из прибыли,[4428]·[4441] / [4420],0;0,4428;4441,0,4420,,,0,0
4420,14,clip Σ,сумма всех долгов за поставку сырья,"clip(1·[4421] + 1·[4422] + 1·[4423] + 1·[4424] + 1·[4425] + 1·[4426] + 1·[4427] + 1·[4428], 0.001, 1e+08)",0.001,0,1e+08,0,1;1;1;1;1;1;1;1,4421;4422;4423;4424;4425;4426;4427;4428,0,0
4421,14,clip Σ,потребность в оборотном кредите,"clip(1·[4215] + -1·[1299], 0, 1e+06)",0,0,1e+06,0,1;-1,4215;1299,0,0
4422,14,clip Σ,потребность в оборотном кредите,"clip(1·[4225] + -1·[7299], 0, 1e+06)",0,0,1e+06,0,1;-1,4225;7299,0,0
4423,14,clip Σ,потребность в оборотном кредите,"clip(1·[4235] + -1·[9299], 0, 1e+06)",0,0,1e+06,0,1;-1,4235;9299,0,0
4424,14,clip Σ,потребность в оборотном кредите,"clip(1·[4245] + -1·[10299], 0, 1e+06)",0,0,1e+06,0,1;-1,4245;10299,0,0
4425,14,clip Σ,потребность в оборотном кредите,"clip(1·[4255] + -1·[8299], 0, 1e+06)",0,0,1e+06,0,1;-1,4255;8299,0,0
4426,14,clip Σ,потребность в оборотном кредите,"clip(1·[4265] + -1·[13299], 0, 1e+06)",0,0,1e+06,0,1;-1,4265;13299,0,0
4427,14,clip Σ,потребность в оборотном кредите,"clip(1·[4275] + -1·[12299], 0, 1e+06)",0,0,1e+06,0,1;-1,4275;12299,0,0
4428,14,clip Σ,потребность в оборотном кредите,"clip(-1·[4299] + 1·[4285], 0, 1e+06)",0,0,1e+06,0,-1;1,4299;4285,0,0
4438,14,clip Σ,сигнал о прекращении поставок сырья в результате задолженности его оплаты,"clip(-8·[4285] + 10·[4299], 0, 1)",0,0,1,0,-8;10,4285;4299,0,0
4441,7,min,поток кредита из банка,"min([4452], [4445])",0;0,4452;4445,,,,,0,0
4442,5,∫ с пределами,текущий кредитный долг банку,"∫(1·[4441] + -1·[1097] + 1·[4443]) dt, x0=1, pa1=0, hi=1e+07",1;0,0;0,1e+07,0,1;-1;1,4441;1097;4443,0,0
4443,9,Π,поток процентов за выданный оборотный кредит,[4442]·[47],0;0,4442;47,,,,,0,0
4444,14,clip Σ,сигнал о возможности кредитования банком оборотных средств,"clip(-0.1·[4442] + 0.1·[4448], 0, 1)",0,0,1,0,-0.1;0.1,4442;4448,0,0
4445,9,Π,поток кредита оборотных средств выдаваемых банком,[4452]·[4444]·[4446],0;0;0,4452;4444;4446,,,,,0,0
4446,14,clip Σ,сигнал о том что норма прибыли больше ставки кредита,"clip(1·[4450], 0, 1)",0,0,1,0,1,4450,0,0
4447,1,Σ,формирование сигнала о возможности кредитования,1·1 + 1·[4450],,,,,1;1,const;4450,0,0
4448,9,Π,формиросание сигнала о возможности кредитования,[4449]·[4447],0;0,4449;4447,,,,,0,0
4449,2,уставка·Σ,коэф ликвидности основных фондов для возможности банковского кредитования,0.1·(0.1·[4063]),0.1,4449,,,0.1,4063,0,1
4450,2,уставка·Σ,учет превышения нормы проб над ставкой кредита для эффективности кредитования,3·(1·[4451]),3,0,,,1,4451,0,0
4451,11,Π/Π,превышение нормы прибыли стаки кркдита,[4058] / [47],0,4058,0,47,,,0,0
4452,9,Π,потребность в оборотном кредите,[4420]·[199],0;0,4420;199,,,,,0,0
4461,9,Π,сигнал о прекращении поставок сырья при неоплате ранее поставленного,[88]·[4303],0;0,88;4303,,,,,0,0
4462,9,Π,сигнал о прекращении поставок сырья при неоплате ранее поставленного,[88]·[4308],0;0,88;4308,,,,,0,0
4463,9,Π,сигнал о прекращении поставок сырья при неоплате ранее поставленного,[88]·[4313],0;0,88;4313,,,,,0,0
4464,9,Π,сигнал о прекращении поставок сырья при неоплате ранее поставленного,[88]·[4318],0;0,88;4318,,,,,0,0
4465,9,Π,сигнал о прекращении поставок сырья при неоплате ранее поставленного,[88]·[4323],0;0,88;4323,,,,,0,0
4466,9,Π,сигнал о прекращении поставок сырья при неоплате ранее поставленного,[88]·[4328],0;0,88;4328,,,,,0,0
4467,9,Π,сигнал о прекращении поставок сырья при неоплате ранее поставленного,[88]·[4333],0;0,88;4333,,,,,0,0
4468,9,Π,сигнал о прекращении поставок сырья при неоплате ранее поставленного,[4438]·[88],0;0,4438;88,,,,,0,0
4471,1,Σ,включ сигнала о небходимости прекращения поставок сырья при отсутств их оплаты,1·[4461] + 1·[189],,,,,1;1,4461;189,0,0
4472,1,Σ,включ сигнала о небходимости прекращения поставок сырья при отсутств их оплаты,1·[4462] + 1·[189],,,,,1;1,4462;189,0,0
4473,1,Σ,включ сигнала о небходимости прекращения поставок сырья при отсутств их оплаты,1·[4463] + 1·[189],,,,,1;1,4463;189,0,0
4474,1,Σ,включ сигнала о небходимости прекращения поставок сырья при отсутств их оплаты,1·[4464] + 1·[189],,,,,1;1,4464;189,0,0
4475,1,Σ,включ сигнала о небходимости прекращения поставок сырья при отсутств их оплаты,1·[4465] + 1·[189],,,,,1;1,4465;189,0,0
4476,1,Σ,включ сигнала о небходимости прекращения поставок сырья при отсутств их оплаты,1·[4466] + 1·[189],,,,,1;1,4466;189,0,0
4477,1,Σ,включ сигнала о небходимости прекращения поставок сырья при отсутств их оплаты,1·[4467] + 1·[189],,,,,1;1,4467;189,0,0
4478,1,Σ,включ сигнала о небходимости прекращения поставок сырья при отсутств их оплаты,1·[4468] + 1·[189],,,,,1;1,4468;189,0,0
4802,2,уставка·Σ,доход,1·(0.7162·[4026]),1,4802,,,0.7162,4026,0,1
4803,9,Π,сумма подоходн налога из соц группы,[4804]·[4811],0;0,4804;4811,,,,,0,0
4804,9,Π,масса подоходного налога,[4802]·[22],0;0,4802;22,,,,,0,0
4805,4,1/(Tp+1)·g,чистый доход,"clip(1·(1·[4802] + -1·[4806] + -1·[4804]), 0.1, 1)",1,0,1;0.1,0;0,1;-1;-1,4802;4806;4804,10.896,0
4806,9,Π,другие платежи,[4802]·[21],0;0,4802;21,,,,,0,0
4807,9,Π,другие платежи,[4806]·[4811],0;0,4806;4811,,,,,0,0
4808,9,Π,спрос соц группы на услуги,[4874]·[4811],0;0,4874;4811,,,,,0,0
4809,9,Π,спрос на ТНП в социальной группе,[4860]·[4811],0;0,4860;4811,,,,,0,0
4810,9,Π,спрос на стоящ жилье в соц группе,[4844]·[4811],0;0,4844;4811,,,,,0,0
4811,2,уставка·Σ,количество человек в соц группе,1·(1·[4012]),1,4811,,,1,4012,0,1
4812,9,Π,формир фин возмож,[4828]·[4828],0;0,4828;4828,,,,,0,0
4814,10,Σ·[ref],формир финан возм,(2.3·[4812])·[4815],0,4815,,,2.3,4812,0,0
4815,5,∫ с пределами,денежные накопления,"∫(1·[4816] + -1·[4814] + -1·[4870]) dt, x0=1, pa1=0.001, hi=100000",1;0.001,0;0,100000,0,1;-1;-1,4816;4814;4870,4.01726,0
4816,11,Π/Π,формир денежн накоплений,[4838]·[4838]·[4805] / [4819]·[4819],0;0;0,4838;4838;4805,0;0,4819;4819,,,0,0
4817,11,Π/Π,формир соц напряженности,[4815] / [4818],0,4815,0,4818,,,0,0
4818,4,1/(Tp+1)·g,финансовые возможности,"clip(1·(1·[4805] + 1·[4814] + -1·[4816]), 0.1, 1)",1,0,1;0.1,0;0,1;1;-1,4805;4814;4816,10.3785,0
4819,1,Σ,формирование денежн накоплений,1·1 + 1·[4838],,,,,1;1,const;4838,0,0
4820,1,Σ,расходы на ТНП Услуги и Досуг,1·[4818] + -1·[4821],,,,,1;-1,4818;4821,0,0
4821,9,Π,расходы на ПП и Жилье,[4831]·[4818],0;0,4831;4818,,,,,0,0
4822,12,Π/Σ,расходы на ПП,[4828]·[4821] / (1·[4828] + 1·[4836]),0;0,4828;4821,,,1;1,4828;4836,0,0
4823,14,clip Σ,расходы на жилье,"clip(1·[4821] + -1·[4822] + -1·[70], 0.01, 1e+07)",0.01,0,1e+07,0,1;-1;-1,4821;4822;70,0,0
4824,2,уставка·Σ,масштабир цены ПП в соц гр,0.08·(1·[4197]),0.08,0,,,1,4197,0,0
4825,12,Π/Σ,формир доли на ПП,[4824] / (0.001·1 + 0.2·[4822]),0,4824,,,0.001;0.2,const;4822,0,0
4826,11,Π/Π,спрос соц группы на ПП,[4811]·[4822] / [4824],0;0,4811;4822,0,4824,,,0,0
4827,12,Π/Σ,формир доли на ПП,[4825] / (1·[4825] + 1·[4822]),0,4825,,,1;1,4825;4822,0,0
4828,4,1/(Tp+1)·g,формир доли на ПП,"clip(1·(1·[4827]), 0.1, 1)",1,0,1;0.1,0;0,1,4827,0.354311,0
4829,14,clip Σ,,"clip(1·1 + -4·[4832], 0, 1)",0,0,1,0,1;-4,const;4832,0,0
4830,11,Π/Π,спрос на ПП,[4822] / [4824],0,4822,0,4824,,,0,0
4831,14,clip Σ,формир доли на ПП и Жил,"clip(1·[4828] + 1·[4836], 0, 1)",0,0,1,0,1;1,4828;4836,0,0
4832,14,clip Σ,формир доли на Жил,"clip(-0.5·1 + 1·[4828], 0, 100)",0,0,100,0,-0.5;1,const;4828,0,0
4833,1,Σ,формир доли на Жил,1·1 + 1·[4832],,,,,1;1,const;4832,0,0
4834,23,?23,формир доли на Жил,?23(1·[4833]; 10),10,0,,,1,4833,0,0
4835,11,Π/Π,доля на жилье,[4857] / [4834],0,4857,0,4834,,,0,0
4836,12,Π/Σ,доля на Жил,[4835] / (1·1 + 5·[4835]),0,4835,,,1;5,const;4835,0,0
4837,14,clip Σ,всего расходов на ТНП и др,"clip(1·[4820] + -1·[4856], 0, 1000)",0,0,1000,0,1;-1,4820;4856,0,0
4838,1,Σ,уровень жизни,1·1 + -1·[4828],,,,,1;-1,const;4828,0,0
4839,12,Π/Σ,натуральный спрос на покупку жилья (удовлетворенный),[4844] / (0.01·1 + 1·[4842]),0,4844,,,0.01;1,const;4842,0,0
4840,2,уставка·Σ,коэф перевода года в мес,1·(1·[4823]),1,0,,,1,4823,0,0
4841,11,Π/Π,спрос на строит жилья,[4840]·[4840] / [4842]·[4842],0;0,4840;4840,0;0,4842;4842,,,0,0
4842,2,уставка·Σ,цена строящ жилья,1·(1·[3120]),1,0,,,1,3120,0,0
4843,12,Π/Σ,доля на покупку жилья,[4848]·[4849]·[4841]·[4829] / (0.1·1 + 1·[4841]),0;0;0;0,4848;4849;4841;4829,,,0.1;1,const;4841,0,0
4844,9,Π,расходы на покупку жилья,[4823]·[4843],0;0,4823;4843,,,,,0,0
4845,14,clip Σ,расходы на наем жилья,"clip(1·[4823] + -1·[4844], 0, 1e+07)",0,0,1e+07,0,1;-1,4823;4844,0,0
4846,12,Π/Σ,формиров доли расходов на покупку жилья,[4853] / (1·[4842] + 1·[4853]),0,4853,,,1;1,4842;4853,0,0
4847,12,Π/Σ,формир доли расходов на покупку жилья,[4853] / (20·[4892]),0,4853,,,20,4892,0,0
4848,4,1/(Tp+1)·g,формир доли расх на жилье,"clip(1·(1·[4846]), 0.1, 1)",1,0,1;0.1,0;0,1,4846,0.353724,0
4849,4,1/(Tp+1)·g,формир доли расх на жилье,"clip(1·(1·[4847]), 0.1, 1)",1,0,1;0.1,0;0,1,4847,1,0
4850,9,Π,спрос на досуг в соц группы,[4811]·[4866]·[4837],0;0;0,4811;4866;4837,,,,,0,0
4851,5,∫ с пределами,куплено всего жилья,"∫(1·[4839] + -0.01·[4854]) dt, x0=1, pa1=0, hi=10000",1;0,0;0,10000,0,1;-0.01,4839;4854,11.1923,0
4852,12,Π/Σ,всего нанято жилья,[4845] / (0.1·[4853]),0,4845,,,0.1,4853,0,0
4853,2,уставка·Σ,цена найма жилья,1·(1·[3]),1,0,,,1,3,0,0
4854,12,Π/Σ,коэф амортизац купленного жилья,[4851] / (1·1 + 1.5·[4874]),0,4851,,,1;1.5,const;4874,0,0
4855,4,1/(Tp+1)·g,всего имеется жилья,"clip(2·(2·[4852] + 1·[4851]), 0.01, 1)",2,0,1;0.01,0;0,2;1,4852;4851,43.1413,0
4856,9,Π,поток уплаты налога за купленное жилье,[4851]·[4892],0;0,4851;4892,,,,,0,0
4857,11,Π/Π,отношение нормы жилья к имеещемуся,[4893] / [4855],0,4893,0,4855,,,0,0
4858,12,Π/Σ,качество жизни,[4866]·[400] / (1·[4857] + 1·[4828]),0;0,4866;400,,,1;1,4857;4828,0,0
4859,2,уставка·Σ,масшт спроса на аренду жилья для весов ценн в расходах,0.1·(1·[4852]),0.1,0,,,1,4852,0,0
4860,11,Π/Π,поток покупок ТНП,[4864]·[4837] / [4873]·[5150],0;0,4864;4837,0;0,4873;5150,,,0,0
4861,5,∫ с пределами,накоплено купленных ТНП,"∫(1·[4860] + -1·[4862]) dt, x0=0.5, pa1=1, hi=10000",0.5;1,0;0,10000,0,1;-1,4860;4862,27.1387,0
4862,12,Π/Σ,амортизация ТНП,[4861] / (10·1 + 20·[4874]),0,4861,,,10;20,const;4874,0,0
4863,2,уставка·Σ,всего имущества (ТНП+Жил),0.03·(1·[4861] + 1·[4855]),0.03,0,,,1;1,4861;4855,0,0
4864,12,Π/Σ,треб ТНП,[4855] / (0.01·1 + 0.4·[4861]),0,4855,,,0.01;0.4,const;4861,0,0
4865,12,Π/Σ,треб услуг,[4863] / (1·1 + 1·[4863]),0,4863,,,1;1,const;4863,0,0
4866,11,Π/Π,формир спроса на досуг,[4875]·[4837] / [4873]·[4]·[4]·[4],0;0,4875;4837,0;0;0;0,4873;4;4;4,,,0,0
4867,9,Π,объем потребляемых благ в соц сфере для формиров натуральн потребности в эл-эн,[4873]·[4811],0;0,4873;4811,,,,,0,0
4868,1,Σ,всего расходы на личное жилье (его приобретение и налог при его содержании),1·[1856] + 1·[1844],,,,,1;1,1856;1844,0,0
4870,14,clip Σ,уровень денежн нак при котором нчинается активное приобрет жилья,"clip(-3.5·1 + 1·[4815], 0, 1e+08)",0,0,1e+08,0,-3.5;1,const;4815,0,0
4871,2,уставка·Σ,Цдосуга,1.25·(1·1),1.25,0,,,1,const,0,0
4873,4,1/(Tp+1)·g,сумма потребностей в усл+досуге+ТНП,"clip(1·(1·[4864] + 1·[4865] + 1·[4875]), 0.01, 1)",1,0,1;0.01,0;0,1;1;1,4864;4865;4875,8.78235,0
4874,11,Π/Π,спрос на услуги,[4865]·[4837] / [5]·[4873],0;0,4865;4837,0;0,5;4873,,,0,0
4875,12,Π/Σ,поток услуг освобождающий время на досуг,[4874]·[4888] / (0.1·1 + 1·[4874]),0;0,4874;4888,,,0.1;1,const;4874,0,0
4876,11,Π/Π,вес цены блага в расходах соц группы,[4866]·[4]·[4] / [4818],0;0;0,4866;4;4,0,4818,,,0,0
4877,11,Π/Π,вес цены блага в расходах соц группы,[4874]·[5]·[5] / [4818],0;0;0,4874;5;5,0,4818,,,0,0
4878,11,Π/Π,вес цены блага в расходах соц группы,[4860]·[5150]·[5150] / [4818],0;0;0,4860;5150;5150,0,4818,,,0,0
4879,11,Π/Π,вес цены блага в расходах соц группы,[4859]·[3]·[3] / [4818],0;0;0,4859;3;3,0,4818,,,0,0
4880,11,Π/Π,вес цены блага в расходах соц группы,[4841]·[4842]·[4842] / [4818],0;0;0,4841;4842;4842,0,4818,,,0,0
4881,11,Π/Π,вес цены блага в расходах соц группы,[4826]·[4824]·[4824] / [4818]·[4811],0;0;0,4826;4824;4824,0;0,4818;4811,,,0,0
4885,12,Π/Σ,индекс социальной напряженности,[4887]·[4886] / (1·1 + 0.5·[4887]),0;0,4887;4886,,,1;0.5,const;4887,0,0
4886,1,Σ,формир потребн в досуге от соц напряж,1·1 + 2·[4005],,,,,1;2,const;4005,0,0
4887,12,Π/Σ,треб досуга,[1] / (5·[4858] + 1·[4817]),0,1,,,5;1,4858;4817,0,0
4888,4,1/(Tp+1)·g,треб досуга,"clip(1·(1·[4863] + 1·[4815]), 0.1, 1)",1,0,1;0.1,0;0,1;1,4863;4815,6.12572,0
4889,9,Π,накоплено денег в соц группе для возможной покупки дол,[4870]·[4811],0;0,4870;4811,,,,,0,0
4890,9,Π,уровень денежн накоплений насел при котором начинают покупать дол,[4815],0,4815,,,,,0,0
4891,1,Σ,сумма абсол знач весов цен благ соц гр,1·[4876] + 1·[4877] + 1·[4878] + 1·[4879] + 1·[4880] + 1·[4881],,,,,1;1;1;1;1;1,4876;4877;4878;4879;4880;4881,0,0
4892,2,уставка·Σ,ставка налога на жилье,1·(1·[7]),1,0,,,1,7,0,0
4893,2,уставка·Σ,норма жилья,10·(1·1),10,4893,,,1,const,0,1
4894,11,Π/Π,относит вес цены на ПП,[4881] / [4891],0,4881,0,4891,,,0,0
4895,11,Π/Π,относительный вес цены куплен жилья,[4880] / [4891],0,4880,0,4891,,,0,0
4896,11,Π/Π,относительный вес цены досуга,[4876] / [4891],0,4876,0,4891,,,0,0
4897,11,Π/Π,относительный вес цены услуг,[4877] / [4891],0,4877,0,4891,,,0,0
4898,11,Π/Π,относительный вес цены ТНП,[4878] / [4891],0,4878,0,4891,,,0,0
4899,11,Π/Π,относительный вес цены аренд жилья,[4879] / [4891],0,4879,0,4891,,,0,0
5001,14,clip Σ,реальн произв продукции,"clip(1·[5011], 0.2, 1.11111e+06)",0.2,0,1.11111e+06,0,1,5011,0,0
5002,4,1/(Tp+1)·g,потенц произв продукции,"clip(1·(1·[5011]), 0.1, 1)",1,0,1;0.1,0;0,1,5011,0.99957,0
5003,7,min,огранич в произв продукции,"min([5213], [5223], [5233], [5243], [5253], [5263], [5273], [5283], [5203])",0;0;0;0;0;0;0;0;0,5213;5223;5233;5243;5253;5263;5273;5283;5203,,,,,0,0
5004,14,clip Σ,производство продукции,"clip(1·[5017], 0.001, 10000)",0.001,0,10000,0,1,5017,0,0
5005,12,Π/Σ,степень безработицы в секторе,[232]·[5030] / (1e-05·1 + 1·[5009]),0;0,232;5030,,,1e-05;1,const;5009,0,0
5006,9,Π,МЗ от импорта,[5206]·[501],0;0,5206;501,,,,,0,0
5007,7,min,всего реализовано продукции,"min([5001], [5004])",0;0,5001;5004,,,,,0,0
5008,4,1/(Tp+1)·g,материальные затраты,"clip(1·(1.4742·[5018]), 0.02, 1)",1,0,1;0.02,0;0,1.4742,5018,615.679,0
5009,10,Σ·[ref],требуется труда с учетом сменности и потребн в продукции,(1·[5093])·[5025],0,5025,,,1,5093,0,0
5010,12,Π/Σ,цена рыночная,[5116] / (0.2·1 + 0.8·[5004]),0,5116,,,0.2;0.8,const;5004,0,0
5011,10,Σ·[ref],потенциальное производство продукции,(0.2·[5080])·[5029],0,5029,,,0.2,5080,0,0
5012,2,уставка·Σ,подано труда,5.5·(1·1),5.5,5012,,,1,const,0,1
5013,11,Π/Π,расходы сект на Фп,[5365]·[5066] / [5072],0;0,5365;5066,0,5072,,,0,0
5014,11,Π/Π,расходы сект на Фа,[5365]·[5068] / [5072],0;0,5365;5068,0,5072,,,0,0
5015,11,Π/Π,количество прибыли для импортного оборудования,[5365]·[5075] / [5072],0;0,5365;5075,0,5072,,,0,0
5016,2,уставка·Σ,общее предложение труда в секторе производства,2·(1·[5012] + 1·[235]),2,0,,,1;1,5012;235,0,0
5017,4,1/(Tp+1)·g,,"clip(1·(1·[5011]), 0.02, 1)",1,0,1;0.02,0;0,1,5011,1,0
5018,1,Σ,сумма номинальных материальных затрат,1·[5006] + 1·[5217] + 1·[5227] + 1·[5237] + 1·[5247] + 1·[5257] + 1·[5267] + 1·[5277],,,,,1;1;1;1;1;1;1;1,5006;5217;5227;5237;5247;5257;5267;5277,0,0
5019,9,Π,цена оптовая ТНП,[5037]·[5105],0;0,5037;5105,,,,,0,0
5020,2,уставка·Σ,ставка зарплаты,0.5·(1·1),0.5,5020,,,1,const,0,1
5021,1,Σ,условно средняя цена поставляемых новых фондов для их развития,0.5·[2039] + 0.5·[3039],,,,,0.5;0.5,2039;3039,0,0
5025,5,∫ с пределами,К сменности,"∫(1·[5076] + -1·[5004]) dt, x0=1, pa1=0.2, hi=2.5",1;0.2,0;0,2.5,0,1;-1,5076;5004,0.999,0
5026,13,Σ/Π,доход на одного в соц группе ТНП,(1·[5052] + 1·[5032]) / [5029],,,0,5029,1;1,5052;5032,0,0
5027,9,Π,выручка ТНП,[5116]·[5039],0;0,5116;5039,,,,,0,0
5029,7,min,используется труда,"min([5016], [5009])",0;0,5016;5009,,,,,0,0
5030,14,clip Σ,безработица,"clip(1·[5012] + -1·[5029], 0, 100000)",0,0,100000,0,1;-1,5012;5029,0,0
5031,10,Σ·[ref],индексация зарплаты,(12·1)·[5020],0,5020,,,12,const,0,0
5032,9,Π,поток зарплаты,[5029]·[5031],0;0,5029;5031,,,,,0,0
5033,1,Σ,общие затраты,1·[5008] + 1·[5051] + 1·[5032],,,,,1;1;1,5008;5051;5032,0,0
5034,1,Σ,все затраты,1·[5033] + 1·[5055],,,,,1;1,5033;5055,0,0
5035,13,Σ/Π,себестоимость,(1·[5034]) / [5004],,,0,5004,1,5034,0,0
5036,9,Π,формирование цены,[5035]·[5112]·[5113],0;0;0,5035;5112;5113,,,,,0,0
5037,4,1/(Tp+1)·g,цена без НДС,"clip(0.6785·(1·[5038] + 1·[5036]), 0.02, 1)",0.6785,0,1;0.02,0;0,1;1,5038;5036,658.707,0
5038,9,Π,формирование рыночной цены (с учетом ее доли в общей цене),[5035]·[5112]·[5114],0;0;0,5035;5112;5114,,,,,0,0
5039,4,1/(Tp+1)·g,цена с НДС,"clip(1·(1·[5019]), 0.02, 1)",1,0,1;0.02,0;0,1,5019,669.394,0
5040,9,Π,выручка без НДС,[5037]·[5007],0;0,5037;5007,,,,,0,0
5041,4,1/(Tp+1)·g,сумма выручек внутренней и экспортной,"clip(1.68·(1·[5027]), 0.01, 1)",1.68,0,1;0.01,0;0,1,5027,1124.07,0
5042,2,уставка·Σ,ма выручек внутренней и экспортной,1·(1·[5041]),1,0,,,1,5041,0,0
5043,14,clip Σ,добавленная стоимость,"clip(1·[5042] + -1·[5008], 0, 10000)",0,0,10000,0,1;-1,5042;5008,0,0
5044,14,clip Σ,балансовая прибыль,"clip(1·[5043] + -1·[5050] + -1·[5047] + -1·[5097] + -1·[5054] + -1·[5032] + -1·[5048] + -1·[5073] + -1·[5137], 0, 10000)",0,0,10000,0,1;-1;-1;-1;-1;-1;-1;-1;-1,5043;5050;5047;5097;5054;5032;5048;5073;5137,0,0
5045,1,Σ,чистая прибыль,1·[5044] + -1·[5049],,,,,1;-1,5044;5049,0,0
5046,2,уставка·Σ,стоимость вводимых основных фондов,0.4683·(1·[5078] + 1·[5079] + 1·[5181]),0.4683,0,,,1;1;1,5078;5079;5181,0,0
5047,9,Π,поток НДС,[5043]·[24],0;0,5043;24,,,,,0,0
5048,9,Π,поток налога с выручки,[5042]·[23],0;0,5042;23,,,,,0,0
5049,9,Π,поток налога на прибыль,[25]·[5044],0;0,25;5044,,,,,0,0
5050,9,Π,поток налога на фонды,[5063]·[26],0;0,5063;26,,,,,0,0
5051,9,Π,амортизация в себестоимости,[5063]·[5064],0;0,5063;5064,,,,,0,0
5052,12,Π/Σ,доля прибыли в потребление,[5074]·[5045] / (5·1 + 1·[5074]),0;0,5074;5045,,,5;1,const;5074,0,0
5053,4,1/(Tp+1)·g,ФОТ,"clip(1·(1·[5052] + 1·[5032]), 0.1, 1)",1,0,1;0.1,0;0,1;1,5052;5032,35.7221,0
5054,9,Π,налог на ФОТ,[5053]·[28],0;0,5053;28,,,,,0,0
5055,1,Σ,сумма налогов,1·[5054] + 1·[5050] + 1·[5048],,,,,1;1;1,5054;5050;5048,0,0
5056,4,1/(Tp+1)·g,инвестируемая прибыль,"clip(1·(1·[5045] + -1·[5052]), 0.02, 1)",1,0,1;0.02,0;0,1;-1,5045;5052,143.793,0
5057,12,Π/Σ,норма прибыли,[5045] / (0.001·1 + 1·[5049] + 1·[5034]),0,5045,,,0.001;1;1,const;5049;5034,0,0
5058,4,1/(Tp+1)·g,степень финансовых возможностей,"clip(1·(1·[5057]), 0.1, 1)",1,0,1;0.1,0;0,1,5057,0.171331,0
5059,14,clip Σ,индекс финансовых возможностей,"clip(20·[5058], 0, 1)",0,0,1,0,20,5058,0,0
5060,14,clip Σ,степень недостаточности финансов,"clip(1·1 + -1·[5059], 0, 1)",0,0,1,0,1;-1,const;5059,0,0
5061,14,clip Σ,норма выплаты амортизации,"clip(1·[5056], 0, 1)",0,0,1,0,1,5056,0,0
5062,9,Π,реальный поток амортизации,[5061]·[5063]·[5064],0;0;0,5061;5063;5064,,,,,0,0
5063,5,∫ с пределами,стоимость производственных фондов,"∫(1·[5046] + -1·[5073]) dt, x0=0.1, pa1=0, hi=10000",0.1;0,0;0,10000,0,1;-1,5046;5073,449.985,0
5064,2,уставка·Σ,коэффициент амортизации,20·(0.01·1),20,5064,,,0.01,const,0,1
5065,2,уставка·Σ,всего инвестиций,1.027·(1·[5056] + 1·[5086] + 1·[5073]),1.027,0,,,1;1;1,5056;5086;5073,0,0
5066,2,уставка·Σ,доля строит в инвестициях,1·(1·1),1,5066,,,1,const,0,1
5067,11,Π/Π,расходы прибыли в строит,[5365]·[5066] / [5072]·[3039],0;0,5365;5066,0;0,5072;3039,,,0,0
