подсистема,оператор_описаниги,класс,экземпляров_в_файле,блок_СНХМ,тип,имя_в_файле,смысл_по_описаниге,вердикт,фактическое_соответствие
схема 15-17.17 соцгруппа,835,шаблон соцгруппы (off 35),22,1835,11,доля на жилье,принятая норма жилья,не совпадает,норма жилья = #k893
схема 15-17.17 соцгруппа,836,шаблон соцгруппы (off 36),22,1836,12,доля на Жил,сумматор: 811 − 832,частично,
схема 15-17.17 соцгруппа,837,шаблон соцгруппы (off 37),22,1837,14,всего расходов на ТНП и др,приобретение ТНП,частично,
схема 15-17.17 соцгруппа,838,шаблон соцгруппы (off 38),22,1838,1,уровень жизни,потребность в ТНП,не совпадает,#k838 = уровень жизни; потребность в ТНП = #k864
схема 15-17.17 соцгруппа,840,шаблон соцгруппы (off 40),22,1840,2,коэф перевода года в мес,услуги (удовлетворённый спрос на услуги),не совпадает,спрос на услуги = #k874
схема 15-17.17 соцгруппа,843,шаблон соцгруппы (off 43),22,1843,12,доля на покупку жилья,накоплено ТНП (интегратор),не совпадает,накоплено ТНП = #k861
схема 15-17.17 соцгруппа,845,шаблон соцгруппы (off 45),22,1845,14,расходы на наем жилья,потребность в досуге,не совпадает,#k845 = расходы на наём жилья; потребность в досуге = #k866/#k887
схема 15-17.17 соцгруппа,846,шаблон соцгруппы (off 46),22,1846,12,формиров доли расходов на покупку жилья,оплачиваемый досуг,не совпадает,оплачиваемый досуг = #k850
схема 15-17.17 соцгруппа,847,шаблон соцгруппы (off 47),22,1847,12,формир доли расходов на покупку жилья,время досуга (min) / спрос на досуг,не совпадает,спрос на досуг = #k850/#k887
схема 15-17.17 соцгруппа,848,шаблон соцгруппы (off 48),22,1848,4,формир доли расх на жилье,цена услуг Ц_усл,не совпадает,цена услуг = #5
схема 15-17.17 соцгруппа,849,шаблон соцгруппы (off 49),22,1849,4,формир доли расх на жилье,цена досуга Ц_досуга,не совпадает,цена досуга = #4 и #k871
схема 15-17.17 соцгруппа,850,шаблон соцгруппы (off 50),22,1850,9,спрос на досуг в соц группы,индекс уровня жизни = 1 − K₈₅₁·(сигнал 815),не совпадает,#k850 = спрос на досуг; индекс уровня жизни = #k838
схема 9-17.10 бюджет,851,глобальный,1,851,13,заказ бюджета натурального количества проч продукц,культура,совпадает,
схема 15-17.17 соцгруппа,851,шаблон соцгруппы (off 51),22,1851,5,куплено всего жилья,коэффициент преобразования доли 815,не совпадает,#851 — глобальный (культура); #k851 = куплено всего жилья
схема 15-17.17 соцгруппа,852,шаблон соцгруппы (off 52),22,1852,12,всего нанято жилья,свёртка факторов качества жизни,не совпадает,#k852 = всего нанято жилья
схема 9-17.10 бюджет,853,глобальный,1,853,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,культура,совпадает,
схема 15-17.17 соцгруппа,853,шаблон соцгруппы (off 53),22,1853,2,цена найма жилья,вес степени неудовлетворения в жилье,не совпадает,#k853 = цена найма жилья
схема 9-17.10 бюджет,854,глобальный,1,854,9,возможность бюджета оплатить культуру,культура,совпадает,
схема 15-17.17 соцгруппа,854,шаблон соцгруппы (off 54),22,1854,12,коэф амортизац купленного жилья,качество жизни,частично,
схема 9-17.10 бюджет,855,глобальный,1,855,2,расходы бюджета на  культуру,культура,совпадает,
схема 15-17.17 соцгруппа,855,шаблон соцгруппы (off 55),22,1855,4,всего имеется жилья,вес продолжительности расходования накоплений (от 809),не совпадает,#k855 = всего имеется жилья
схема 15-17.17 соцгруппа,856,шаблон соцгруппы (off 56),22,1856,9,поток уплаты налога за купленное жилье,промежуточная свёртка,не совпадает,#k856 = налог за купленное жильё
схема 15-17.17 соцгруппа,857,шаблон соцгруппы (off 57),22,1857,11,отношение нормы жилья к имеещемуся,сумматор: 1 + свёртка индексов безработицы (1005),не совпадает,1 + свёртка безработицы = #k886 (=1+2·[k005])
схема 15-17.17 соцгруппа,858,шаблон соцгруппы (off 58),22,1858,12,качество жизни,социальная напряжённость,не совпадает,соц. напряжённость = #k817/#k885; #k858 = качество жизни (книжный 854)
схема 9-17.10 бюджет,861,глобальный,1,861,13,заказ бюджета натурального количества проч продукц,медицина,совпадает,
схема 9-17.10 бюджет,863,глобальный,1,863,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,медицина,совпадает,
схема 9-17.10 бюджет,864,глобальный,1,864,9,возможность бюджета оплатить медицину,медицина,совпадает,
схема 9-17.10 бюджет,865,глобальный,1,865,2,расходы бюджета на  медицину,медицина,совпадает,
схема 21-17.22 безраб.+потенциал,871,глобальный,1,871,13,заказ бюджета натурального количества проч продукц,"блок научного потенциала (бюджет, профицит, количество человек)",не совпадает,в файле это наука (верно) — но в бюдж. таблице конспекта перепутано
схема 9-17.10 бюджет,871,глобальный,1,871,13,заказ бюджета натурального количества проч продукц,образование,не совпадает,"в файле 87x = НАУКА (871->873->878->879->880), не образование"
схема 21-17.22 безраб.+потенциал,873,глобальный,1,873,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,"блок научного потенциала (бюджет, профицит, количество человек)",не совпадает,в файле это наука (верно) — но в бюдж. таблице конспекта перепутано
схема 9-17.10 бюджет,873,глобальный,1,873,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,образование,не совпадает,"в файле 87x = НАУКА (871->873->878->879->880), не образование"
схема 21-17.22 безраб.+потенциал,874,глобальный,1,874,9,возможность бюджета оплатить науку,"блок научного потенциала (бюджет, профицит, количество человек)",не совпадает,в файле это наука (верно) — но в бюдж. таблице конспекта перепутано
схема 9-17.10 бюджет,874,глобальный,1,874,9,возможность бюджета оплатить науку,образование,не совпадает,"в файле 87x = НАУКА (871->873->878->879->880), не образование"
схема 9-17.10 бюджет,875,глобальный,1,875,2,расходы бюджета на  науку,образование,не совпадает,"в файле 87x = НАУКА (871->873->878->879->880), не образование"
схема 21-17.22 безраб.+потенциал,880,глобальный,1,880,5,научный потенциал,"блок научного потенциала (бюджет, профицит, количество человек)",совпадает,
схема 5 фонды,880,глобальный,1,880,5,научный потенциал,научный потенциал страны (см. схема 24),совпадает,
схема 21-17.22 безраб.+потенциал,881,глобальный,1,881,13,заказ бюджета натурального количества проч продукц,блок образовательного потенциала,совпадает,
схема 9-17.10 бюджет,881,глобальный,1,881,13,заказ бюджета натурального количества проч продукц,наука,не совпадает,в файле 88x = ОБРАЗОВАНИЕ (881->883->888->889->890)
схема 21-17.22 безраб.+потенциал,883,глобальный,1,883,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,блок образовательного потенциала,совпадает,
схема 9-17.10 бюджет,883,глобальный,1,883,1,сумма платежей в статью расходов бюджета= план расходов  +  доля профицита,наука,не совпадает,в файле 88x = ОБРАЗОВАНИЕ (881->883->888->889->890)
схема 21-17.22 безраб.+потенциал,884,глобальный,1,884,9,возможность бюджета оплатить образование,блок образовательного потенциала,совпадает,
схема 9-17.10 бюджет,884,глобальный,1,884,9,возможность бюджета оплатить образование,наука,не совпадает,в файле 88x = ОБРАЗОВАНИЕ (881->883->888->889->890)
схема 9-17.10 бюджет,885,глобальный,1,885,2,расходы бюджета на  образование,наука,не совпадает,в файле 88x = ОБРАЗОВАНИЕ (881->883->888->889->890)
схема 21-17.22 безраб.+потенциал,890,глобальный,1,890,5,образовательный потенциал,блок образовательного потенциала,совпадает,
схема 9-17.10 бюджет,901,глобальный,1,901,2,степень важности испольэования профицита для данной статьи  финансирования расх,степени важности расходов при распределении профицита,совпадает,
схема 9-17.10 бюджет,926,глобальный,1,926,11,поток финансироаания из профицита данной статьи расходов бюджета,распределение профицита по статьям (944 — внешний долг),совпадает,
схема 21-17.22 безраб.+потенциал,940,глобальный,1,940,11,поток финансироаания из профицита данной статьи расходов бюджета,"блок научного потенциала (бюджет, профицит, количество человек)",совпадает,
схема 21-17.22 безраб.+потенциал,942,глобальный,1,942,11,поток финансироаания из профицита данной статьи расходов бюджета,блок образовательного потенциала,совпадает,
схема 9-17.10 бюджет,943,глобальный,1,943,2,степень важности испольэования профицита для данной статьи  финансирования расх,степени важности расходов при распределении профицита,совпадает,
схема 9-17.10 бюджет,944,глобальный,1,944,11,поток финансироаания из профицита внешнего долга,распределение профицита по статьям (944 — внешний долг),совпадает,
схема 21-17.22 безраб.+потенциал,1000,шаблон сектора (off 000),1,1000,12,научно-интеллектуальный индекс общества,свёртка → интеллектуальный потенциал,совпадает,
схема 1-17.2 ядро+инвестиции,1001,шаблон сектора (off 001),13,1001,14,реальн произв продукции,"1/(Тр+1) | предложение (произведённая продукция), инерционность сферы производства",частично,"в файле 1002=потенц., 1001=реальн. произв.; апериодич. звена в ядре нет"
схема 1 техн.ядро,1001,шаблон сектора (off 001),13,1001,14,реальн произв продукции,поток выпускаемой (произведённой) продукции,совпадает,
схема 1-17.2 ядро+инвестиции,1002,шаблон сектора (off 002),13,1002,4,потенц произв продукции,нелинейность | запрет отрицательных значений выпуска продукции,частично,"в файле 1002=потенц., 1001=реальн. произв.; апериодич. звена в ядре нет"
схема 1 техн.ядро,1002,шаблон сектора (off 002),13,1002,4,потенц произв продукции,апериодическое звено `1/(Tp+1)` — инерционность производства,частично,
схема 1-17.2 ядро+инвестиции,1003,шаблон сектора (off 003),13,1003,7,jгранич в произв продукции,вход (0…1) | индекс достаточности предметов труда,совпадает,
схема 1 техн.ядро,1003,шаблон сектора (off 003),13,1003,7,jгранич в произв продукции,min — ограничение производства по наличию предметов труда,совпадает,
схема 1-17.2 ядро+инвестиции,1004,шаблон сектора (off 004),13,1004,14,производство продукции,⊗ | спрос (произведение 1003 × 1116),не совпадает,спрос = #k1076 (=1003x1116) и #k1116/#k1119; #k1004 = производство продукции
схема 1 техн.ядро,1004,шаблон сектора (off 004),13,1004,14,производство продукции,умножитель в технологической цепочке,частично,
схема 21-17.22 безраб.+потенциал,1005,шаблон сектора (off 005),13,1005,12,степень безработицы в секторе,свёртка степеней безработицы в секторе и в целом по стране,совпадает,
схема 1-17.2 ядро+инвестиции,1007,шаблон сектора (off 007),13,1007,7,всего реализовано продукции,"min | реализация = min(произведённая продукция 1001, спрос 1004)",совпадает,
схема 1 техн.ядро,1007,шаблон сектора (off 007),13,1007,7,всего реализовано продукции,"min(спрос, выпуск) — фактическая реализация",частично,
схема 1-17.2 ядро+инвестиции,1008,шаблон сектора (off 008),13,1008,4,материальные затраты,вход/сигнал | материальные затраты (МЗ),совпадает,
схема 1 техн.ядро,1008,шаблон сектора (off 008),13,1008,4,материальные затраты,суммарные материальные затраты сектора,совпадает,
схема 1-17.2 ядро+инвестиции,1009,шаблон сектора (off 009),13,1009,10,требуется труда с учетом сменности и потребн в продукции,⊗ | требуется труда = рабочие места (1093) × коэффициент сменности (1025),совпадает,
схема 21-17.22 безраб.+потенциал,1009,шаблон сектора (off 009),13,1009,10,требуется труда с учетом сменности и потребн в продукции,требуется труда в секторе,совпадает,
схема 1-17.2 ядро+инвестиции,1011,шаблон сектора (off 011),13,1011,10,0.10нциальное производство продукции,⊗ | выпуск = занятый труд (1029) × производительность оборудования (1080),совпадает,
схема 21-17.22 безраб.+потенциал,1011,шаблон сектора (off 011),13,1011,10,0.10нциальное производство продукции,выход оператора-минимума,частично,
схема 1 техн.ядро,1011,шаблон сектора (off 011),13,1011,10,0.10нциальное производство продукции,спрос на продукцию сектора,не совпадает,спрос = #k1076; #k1011 = потенц. производство (труд x производительность)
схема 1-17.2 ядро+инвестиции,1012,шаблон сектора (off 012),13,1012,2,подано труда,K | подано труда,совпадает,
схема 21-17.22 безраб.+потенциал,1012,шаблон сектора (off 012),13,1012,2,подано труда,потенциальные трудовые ресурсы сектора (из модели демографии),частично,
схема 1-17.2 ядро+инвестиции,1015,шаблон сектора (off 015),13,1015,11,количество прибыли для импортного оборудования,распределитель | деньги на импорт оборудования,совпадает,
схема 7 ВЭД,1015,шаблон сектора (off 015),13,1015,11,количество прибыли для импортного оборудования,инвестиционные ресурсы (схема 2),совпадает,
схема 12-17.13 биржа,1015,шаблон сектора (off 015),13,1015,11,количество прибыли для импортного оборудования,"часть инвестиционного потока, выделенная на импорт оборудования",совпадает,
схема 1-17.2 ядро+инвестиции,1016,шаблон сектора (off 016),13,1016,2,общее предложение труда в секторе производства,"K | количество трудовых ресурсов, которые могут использоваться",совпадает,
схема 21-17.22 безраб.+потенциал,1016,шаблон сектора (off 016),13,1016,2,общее предложение труда в секторе производства,"подано труда (трудовой ресурс + безработные, желающие работать в секторе)",частично,
схема 1-17.2 ядро+инвестиции,1020,шаблон сектора (off 020),13,1020,2,ставка зарплаты,K | индекс ставки средней месячной заработной платы,совпадает,
схема 1-17.2 ядро+инвестиции,1025,шаблон сектора (off 025),13,1025,5,К сменности,"1/p + огранич. | коэффициент сменности; ограничения снизу (>0) и сверху (≤2,5)",совпадает,
схема 1-17.2 ядро+инвестиции,1026,шаблон сектора (off 026),13,1026,13,доход на одного,распределитель | ФОТ на одного занятого,совпадает,
схема 1-17.2 ядро+инвестиции,1029,шаблон сектора (off 029),13,1029,7,используется труда,"min | занято труда = min(1016, 1009)",совпадает,
схема 21-17.22 безраб.+потенциал,1029,шаблон сектора (off 029),13,1029,7,используется труда,"min(требуется труда, подано труда)",совпадает,
схема 21-17.22 безраб.+потенциал,1030,шаблон сектора (off 030),13,1030,14,безработица,количество безработных в данном секторе (степень безработицы),совпадает,
схема 1-17.2 ядро+инвестиции,1031,шаблон сектора (off 031),13,1031,10,индексация зарплаты,⊗ | годовая заработная плата (× пс = 12),совпадает,
схема 1-17.2 ядро+инвестиции,1032,шаблон сектора (off 032),13,1032,9,поток зарплаты,⊗ | заработная плата (ЗП) сектора,совпадает,
схема 1-17.2 ядро+инвестиции,1033,шаблон сектора (off 033),13,1033,1,общие затраты,Σ | сумма ЗП + Ам (1051) + МЗ (1008),совпадает,
схема 1-17.2 ядро+инвестиции,1034,шаблон сектора (off 034),13,1034,1,все затраты,"Σ | все затраты, входящие в себестоимость",совпадает,
схема 1-17.2 ядро+инвестиции,1035,шаблон сектора (off 035),13,1035,13,\ебестоимость,деление | себестоимость = 1034 / выпуск,совпадает,
схема 1-17.2 ядро+инвестиции,1036,шаблон сектора (off 036),13,1036,9,формирование монопольной цены,⊗ (2 шт.) | доли монопольной и рыночной цены,совпадает,
схема 1-17.2 ядро+инвестиции,1037,шаблон сектора (off 037),13,1037,4,цена без НДС,Σ | цена без НДС,совпадает,
схема 1-17.2 ядро+инвестиции,1038,шаблон сектора (off 038),13,1038,9,формирование рыночной цены (с учетом ее доли в общей цене),— | формирование рыночной цены (упом. в тексте ,совпадает,
схема 1-17.2 ядро+инвестиции,1039,шаблон сектора (off 039),13,1039,4,цена с НДС,⊗ | цена с учётом НДС («влияние НДС на цену»),совпадает,
схема 9-17.10 бюджет,1039,шаблон сектора (off 039),13,1039,4,цена с НДС,сектор сырья (госзаказ),совпадает,
схема 6 предм.труда,1039,шаблон сектора (off 039),13,1039,4,цена с НДС,цена реализации сырья,совпадает,
схема 1-17.2 ядро+инвестиции,1041,шаблон сектора (off 041),13,1041,4,сумма выручек внутренней и экспортной,Σ | выручка (5 источников),частично,
схема 1-17.2 ядро+инвестиции,1042,шаблон сектора (off 042),13,1042,2,сумма выручек внутренней и экспортной,нелинейн. | добавленная стоимость = выручка (1041) − МЗ (1008),не совпадает,добавленная стоимость = #k1043; #k1042 = сумма выручек
схема 8 кредит,1042,шаблон сектора (off 042),13,1042,2,сумма выручек внутренней и экспортной,прибыль,частично,
схема 8 кредит,1043,шаблон сектора (off 043),13,1043,14,добавленная стоимость,прибыль,частично,
схема 1-17.2 ядро+инвестиции,1044,шаблон сектора (off 044),13,1044,14,балансовая прибыль,нелинейн. | балансовая прибыль,совпадает,
схема 8 кредит,1044,шаблон сектора (off 044),13,1044,14,балансовая прибыль,прибыль,частично,
схема 1-17.2 ядро+инвестиции,1045,шаблон сектора (off 045),13,1045,1,чистая прибыль,Σ | вычитание налога на прибыль,совпадает,
схема 1-17.2 ядро+инвестиции,1046,шаблон сектора (off 046),13,1046,2,стоимость вводимых основных фондов,Σ | поток стоимости вновь приобретённых фондов (Фа + Фп + импорт),совпадает,
схема 1-17.2 ядро+инвестиции,1047,шаблон сектора (off 047),13,1047,9,поток НДС,⊗ | НДС (ставка — вход 11),совпадает,
схема 1-17.2 ядро+инвестиции,1048,шаблон сектора (off 048),13,1048,9,поток налога с выручки,"⊗ | платёж/налог, входящий в «другие затраты»",совпадает,
схема 1-17.2 ядро+инвестиции,1049,шаблон сектора (off 049),13,1049,9,поток налога на прибыль,⊗ | налог на прибыль (ставка — вход 13),совпадает,
схема 1-17.2 ядро+инвестиции,1050,шаблон сектора (off 050),13,1050,9,поток налога на фонды,⊗ | налог на фонды (ставка — вход 14),совпадает,
схема 1-17.2 ядро+инвестиции,1051,шаблон сектора (off 051),13,1051,9,амортизация в себестоимости,"⊗ | амортизационные отчисления, входящие в себестоимость",совпадает,
схема 1-17.2 ядро+инвестиции,1052,шаблон сектора (off 052),13,1052,12,доля прибыли в потребление,распределитель | деление чистой прибыли на потребляемую и инвестируемую,совпадает,
схема 1-17.2 ядро+инвестиции,1053,шаблон сектора (off 053),13,1053,4,ФОТ,Σ | ФОТ = ЗП + потребляемая прибыль,совпадает,
схема 1-17.2 ядро+инвестиции,1054,шаблон сектора (off 054),13,1054,9,налог на ФОТ,⊗ | начисление (вход 28),совпадает,
схема 1-17.2 ядро+инвестиции,1055,шаблон сектора (off 055),13,1055,1,сумма налогов,Σ | другие затраты (1050 + 1048),совпадает,
схема 1-17.2 ядро+инвестиции,1056,шаблон сектора (off 056),13,1056,4,инвестируемая прибыль,Σ | инвестируемая прибыль = чистая прибыль − потребляемая,совпадает,
схема 1-17.2 ядро+инвестиции,1057,шаблон сектора (off 057),13,1057,12,норма прибыли,деление | отношение чистой прибыли ко всем моделируемым расходам,совпадает,
схема 8 кредит,1058,шаблон сектора (off 058),13,1058,4,степень финансовых возможностей,желательная норма прибыли,частично,
схема 1-17.2 ядро+инвестиции,1059,шаблон сектора (off 059),13,1059,14,индекс финансовых возможностей,нелинейн. | индикатор достаточности фин. возможностей (1 → 0),совпадает,
схема 6 предм.труда,1059,шаблон сектора (off 059),13,1059,14,индекс финансовых возможностей,недостаток оборотных средств (сигнал 0÷1),совпадает,
схема 1-17.2 ядро+инвестиции,1060,шаблон сектора (off 060),13,1060,14,степень недостаточности финансов,нелинейн. | индикатор недостаточности фин. возможностей (0 → 1),совпадает,
схема 6 предм.труда,1060,шаблон сектора (off 060),13,1060,14,степень недостаточности финансов,недостаток оборотных средств (сигнал 0÷1),совпадает,
схема 1-17.2 ядро+инвестиции,1061,шаблон сектора (off 061),13,1061,14,норма выплаты амортизации,нелинейн. | порог инвестиционного потока для амортизации,совпадает,
схема 1-17.2 ядро+инвестиции,1062,шаблон сектора (off 062),13,1062,9,реальный поток амортизации,⊗ | амортизация = поток × коэффициент (1064),совпадает,
схема 1-17.2 ядро+инвестиции,1063,шаблон сектора (off 063),13,1063,5,стоимость производственных фондов,1/p | номинальная стоимость производственных фондов = ∫(1046 − 1073),совпадает,
схема 8 кредит,1063,шаблон сектора (off 063),13,1063,5,стоимость производственных фондов,стоимость установленных фондов,совпадает,
схема 1-17.2 ядро+инвестиции,1064,шаблон сектора (off 064),13,1064,2,коэффициент амортизации,K | коэффициент амортизации,совпадает,
схема 5 фонды,1064,шаблон сектора (off 064),13,1064,2,коэффициент амортизации,коэффициент амортизации,совпадает,
схема 1-17.2 ядро+инвестиции,1065,шаблон сектора (off 065),13,1065,2,всего инвестиций,Σ | инвестиционные ресурсы = инвестируемая чистая прибыль + амортизация,совпадает,
схема 1-17.2 ядро+инвестиции,1066,шаблон сектора (off 066),13,1066,2,доля строит в инвестициях,K | степень важности: строительство,совпадает,
схема 1-17.2 ядро+инвестиции,1067,шаблон сектора (off 067),13,1067,11,расходы прибыли в строит,распределитель | натуральный спрос на строительство,совпадает,
схема 1-17.2 ядро+инвестиции,1068,шаблон сектора (off 068),13,1068,2,доля машиностроен в инвестиц,K | степень важности: отечественное оборудование,совпадает,
схема 1-17.2 ядро+инвестиции,1069,шаблон сектора (off 069),13,1069,11,расходы прибыли в машин,распределитель | натуральный спрос на оборудование,совпадает,
схема 1-17.2 ядро+инвестиции,1070,шаблон сектора (off 070),13,1070,2,доля НИОКР в инвестиц,K | степень важности (одно из 5 направлений),совпадает,
схема 1-17.2 ядро+инвестиции,1071,шаблон сектора (off 071),13,1071,2,доля депозита в инвестиц,K | степень важности (одно из 5 направлений),совпадает,
схема 1-17.2 ядро+инвестиции,1072,шаблон сектора (off 072),13,1072,1,сумма долей распределения прибыли,нелинейн. сумматор | нормировка степеней важности,совпадает,
схема 1-17.2 ядро+инвестиции,1073,шаблон сектора (off 073),13,1073,7,реальные амортизационные выплаты,min | реальные амортизационные отчисления (≤ инвестируемых ресурсов),совпадает,
схема 1-17.2 ядро+инвестиции,1074,шаблон сектора (off 074),13,1074,14,формирование доли прибыли в потребление,нелинейн. + K | автоматическое уменьшение потребляемой прибыли,совпадает,
схема 1-17.2 ядро+инвестиции,1075,шаблон сектора (off 075),13,1075,2,доля прибыли для импорта Фа,K | степень важности (одно из 5 направлений),совпадает,
схема 7 ВЭД,1075,шаблон сектора (off 075),13,1075,2,доля прибыли для импорта Фа,инвестиционные ресурсы (схема 2),совпадает,
схема 1-17.2 ядро+инвестиции,1078,шаблон сектора (off 078),13,1078,9,стоимость вводимых  Фа,"⊗ | формирование активных фондов Фа (входы 2039, 2121)",совпадает,
схема 1-17.2 ядро+инвестиции,1079,шаблон сектора (off 079),13,1079,9,стоимость вводимых  Фп,"⊗ | формирование пассивных фондов Фп (входы 3039, 3121)",совпадает,
схема 1-17.2 ядро+инвестиции,1080,шаблон сектора (off 080),13,1080,5,производительность труда,вход | производительность оборудования (активных фондов),частично,
схема 5 фонды,1080,шаблон сектора (off 080),13,1080,5,производительность труда,индекс производительности оборудования (интегратор),частично,
схема 1-17.2 ядро+инвестиции,1081,шаблон сектора (off 081),13,1081,11,расходы прибыли в НИОКР,распределитель | деньги на увеличение производительности оборудования,совпадает,
схема 5 фонды,1081,шаблон сектора (off 081),13,1081,11,расходы прибыли в НИОКР,влияние отраслевого финансирования на рост производительности,совпадает,
схема 1-17.2 ядро+инвестиции,1082,шаблон сектора (off 082),13,1082,11,расходы прибыли в депозиты,распределитель | деньги в накопление,совпадает,
схема 1-17.2 ядро+инвестиции,1083,шаблон сектора (off 083),13,1083,3,накопленный депозит,"1/p | деньги, накопленные в секторе (банковский депозит)",совпадает,
схема 1-17.2 ядро+инвестиции,1084,шаблон сектора (off 084),13,1084,14,степень возможностей депозита,нелинейн. + K | обвязка начисления процентов,совпадает,
схема 1-17.2 ядро+инвестиции,1086,шаблон сектора (off 086),13,1086,9,поток инвестиций из депозита,⊗ | использование накоплений на погашение долга,совпадает,
схема 8 кредит,1086,шаблон сектора (off 086),13,1086,9,поток инвестиций из депозита,финансовые накопления сектора,не совпадает,накопления сектора = #k1083; #k1086 = поток из депозита
схема 1-17.2 ядро+инвестиции,1087,шаблон сектора (off 087),0,,,,K | порог суммарного долга для использования накоплений,отсутствует,порог долга = #k1363 / #k299
схема 5 фонды,1088,шаблон сектора (off 088),13,1088,2,формир потока амортизац Фа,сумматор поставок оборудования,совпадает,
схема 5 фонды,1089,шаблон сектора (off 089),13,1089,5,количество Фа,активные фонды (количество производственного оборудования),совпадает,
схема 5 фонды,1090,шаблон сектора (off 090),13,1090,9,реальная амортизация Фа,учёт интенсивности использования фондов,частично,
схема 5 фонды,1091,шаблон сектора (off 091),13,1091,9,поток амортизации Фп,пассивные фонды (промышленные здания),совпадает,
схема 5 фонды,1092,шаблон сектора (off 092),13,1092,5,количество Фп,пассивные фонды (промышленные здания),совпадает,
схема 1-17.2 ядро+инвестиции,1093,шаблон сектора (off 093),13,1093,12,количество рабочих мест,вход | количество рабочих мест в одну смену,совпадает,
схема 5 фонды,1093,шаблон сектора (off 093),13,1093,12,количество рабочих мест,свёртка активных и пассивных фондов → количество рабочих мест в одну смену,совпадает,
схема 8 кредит,1095,шаблон сектора (off 095),13,1095,4,формиров возврата кредитов,"погашение кредита из прибыли, интенсивность",совпадает,
схема 1-17.2 ядро+инвестиции,1096,шаблон сектора (off 096),13,1096,7,формиров возврата кредитов,min | выплата долга банку,совпадает,
схема 1-17.2 ядро+инвестиции,1097,шаблон сектора (off 097),13,1097,2,темп возврата кредитов,K | выплата долга банку,совпадает,
схема 8 кредит,1097,шаблон сектора (off 097),13,1097,2,темп возврата кредитов,"погашение кредита из прибыли, интенсивность",совпадает,
схема 8 кредит,1099,шаблон сектора (off 099),11,3099,2,,вкл/выкл погашения долгов поставщикам,частично,
схема 5 фонды,1100,шаблон сектора (off 100),13,1100,10,сумма инвестиционных средств для изменения производительности фондов,реализация 1-й гипотезы роста производительности,совпадает,
схема 5 фонды,1108,шаблон сектора (off 108),13,1108,14,,реализация 2-й гипотезы,совпадает,
схема 1-17.2 ядро+инвестиции,1109,шаблон сектора (off 109),9,1109,12,отношение к спросу на продукцию,деление | влияние спроса (спрос/предложение) на цену,частично,
схема 1-17.2 ядро+инвестиции,1112,шаблон сектора (off 112),13,1112,2,норматив прибыли монополиста,K | коэффициент (норма рентабельности),совпадает,
схема 1-17.2 ядро+инвестиции,1113,шаблон сектора (off 113),13,1113,2,степень монополизма,"K | степень монополизма, экзогенно, 0…1",совпадает,
схема 1-17.2 ядро+инвестиции,1114,шаблон сектора (off 114),13,1114,10,монопольная цена с ее долей,⊗ | доля рыночной цены,совпадает,
схема 1-17.2 ядро+инвестиции,1116,шаблон сектора (off 116),13,1116,4,сумма спросов,⊗ / сумма спросов | внешний спрос на продукцию сектора,совпадает,
схема 1 техн.ядро,1116,шаблон сектора (off 116),13,1116,4,сумма спросов,суммарный спрос / коэффициент,совпадает,
схема 1-17.2 ядро+инвестиции,1119,шаблон сектора (off 119),13,1119,4,сумма спросов,— | подсчёт суммы спросов (совместно с 1116),совпадает,
схема 1 техн.ядро,1119,шаблон сектора (off 119),13,1119,4,сумма спросов,суммарный спрос / коэффициент,совпадает,
схема 1-17.2 ядро+инвестиции,1121,шаблон сектора (off 121),13,1121,11,доля продукции потребителю из сыр в сыр,распределители | распределение продукции по потребителям,совпадает,
схема 7 ВЭД,1134,шаблон сектора (off 134),10,1134,11,доля продукции сырья на экспорт,продано экспорта,совпадает,
схема 1-17.2 ядро+инвестиции,1136,шаблон сектора (off 136),10,1136,11,доля сырья в торговлю,распределители | распределение продукции по потребителям,совпадает,
схема 1-17.2 ядро+инвестиции,1137,шаблон сектора (off 137),13,1137,9,поток возврата долгов проставщикам,⊗ | выплата долга поставщикам,совпадает,
схема 8 кредит,1137,шаблон сектора (off 137),13,1137,9,поток возврата долгов проставщикам,погашение долга банку,не совпадает,погашение банку = #k1095/#k1096/#k1097; 1137/1139 = долги поставщикам
схема 1-17.2 ядро+инвестиции,1138,шаблон сектора (off 138),13,1138,2,коэф уменьшения возврата долгов поставщикам сырья,K | выплата долга поставщикам,совпадает,
схема 1-17.2 ядро+инвестиции,1139,шаблон сектора (off 139),13,1139,7,требуемый поток возврата долгов поставщикам сырья,min | выплата долга поставщикам,совпадает,
схема 8 кредит,1139,шаблон сектора (off 139),13,1139,7,требуемый поток возврата долгов поставщикам сырья,погашение долга банку,не совпадает,погашение банку = #k1095/#k1096/#k1097; 1137/1139 = долги поставщикам
схема 7 ВЭД,1154,шаблон сектора (off 154),11,1154,4,спрос на сырье на экспорт,заявка на экспорт,совпадает,
схема 1-17.2 ядро+инвестиции,1157,шаблон сектора (off 157),10,1157,1,возврат долгов от потребителей исходн сырья,входы | возврат долгов покупателями / оплата банковскими кредитами,совпадает,
